,setup_id,task_id
0,8261487,3021
1,8261494,3021
2,8261509,3021
3,8261514,3021
4,8261516,3021
5,8261517,3021
6,8261520,3021
7,8261522,3021
8,8261524,3021
9,8261526,3021
10,8261527,3021
11,8261528,3021
12,8261529,3021
13,8261537,3021
14,8261540,3021
15,8261543,3021
16,8261544,3021
17,8261547,3021
18,8261550,3021
19,8261553,3021
20,8261555,3021
21,8261556,3021
22,8261558,3021
23,8261562,3021
24,8261565,3021
25,8261567,3021
26,8261568,3021
27,8261570,3021
28,8261573,3021
29,8261574,3021
30,8261576,3021
31,8261577,3021
32,8261579,3021
33,8261583,3021
34,8261586,3021
35,8261588,3021
36,8261590,3021
37,8261591,3021
38,8261593,3021
39,8261598,3021
40,8261602,3021
41,8261603,3021
42,8261604,3021
43,8261605,3021
44,8261608,3021
45,8261610,3021
46,8261611,3021
47,8261617,3021
48,8261618,3021
49,8261620,3021
50,8261621,3021
51,8261622,3021
52,8261626,3021
53,8261627,3021
54,8261634,3021
55,8261635,3021
56,8261638,3021
57,8261639,3021
58,8261642,3021
59,8261649,3021
60,8261650,3021
61,8261651,3021
62,8261653,3021
63,8261658,3021
64,8261661,3021
65,8261665,3021
66,8261666,3021
67,8261667,3021
68,8261674,3021
69,8261677,3021
70,8261678,3021
71,8261679,3021
72,8261680,3021
73,8261682,3021
74,8261685,3021
75,8261687,3021
76,8261688,3021
77,8261692,3021
78,8261693,3021
79,8261696,3021
80,8261703,3021
81,8261707,3021
82,8261708,3021
83,8261710,3021
84,8261711,3021
85,8261715,3021
86,8261718,3021
87,8261720,3021
88,8261723,3021
89,8261728,3021
90,8261729,3021
91,8261730,3021
92,8261732,3021
93,8261733,3021
94,8261735,3021
95,8261740,3021
96,8261741,3021
97,8261744,3021
98,8261746,3021
99,8261747,3021
100,8261752,3021
101,8261754,3021
102,8261756,3021
103,8261759,3021
104,8261762,3021
105,8261767,3021
106,8261768,3021
107,8261769,3021
108,8261771,3021
109,8261772,3021
110,8261775,3021
111,8261778,3021
112,8261781,3021
113,8261785,3021
114,8261787,3021
115,8261792,3021
116,8261794,3021
117,8261797,3021
118,8261800,3021
119,8261801,3021
120,8261806,3021
121,8261807,3021
122,8261810,3021
123,8261814,3021
124,8261815,3021
125,8261817,3021
126,8261821,3021
127,8261823,3021
128,8261825,3021
129,8261828,3021
130,8261831,3021
131,8261833,3021
